latitude,longitude,typologie,arrondissement,densite_200m,categorie_commerciale,surface_terrasse,categorie_encoded,arrondissement_encoded,cluster_hdbscan,cluster_size,cluster_persistence,combined_score
48.87759990077656,2.299152104023988,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75008,11,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,14.96,6,7,0,224.0,0.0013354461910876849,0.2991399468036414
48.88040084700992,2.3641340552562125,TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75010,18,RESTAURATION,1.5,18,9,-1,0.0,0.0,0.0
48.86519690779502,2.3843244266628187,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75011,14,RESTAURATION,4.25,18,10,242,16.0,0.0245411099173504,0.3926577586776064
48.89310536606952,2.363209374418423,TERRASSES OUVERTES SUR TROTTOIR,75018,5,RESTAURATION,14.525000000000002,18,17,114,23.0,0.002255789828846913,0.051883166063479
48.87396398435986,2.364015658796333,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75010,8,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,17.0,6,9,0,224.0,0.0013354461910876849,0.2991399468036414
48.87138806847848,2.3721961526841624,TERRASSES OUVERTES SUR TROTTOIR,75010,19,RESTAURATION,4.5,18,9,205,6.0,0.000906753532599677,0.005440521195598062
48.860552213372614,2.3792361465886898,ÉTALAGE SUR TROTTOIR,75011,14,ÉTALAGE SUR TROTTOIR,2.3,24,10,9,45.0,0.0017146504329232672,0.07715926948154703
48.87563129791724,2.3481320248826467,ÉTALAGE SUR TROTTOIR,75009,12,ÉTALAGE SUR TROTTOIR,12.24,24,8,9,45.0,0.0017146504329232672,0.07715926948154703
48.836958577156125,2.3177840395147995,TERRASSES OUVERTES SUR VOIE PIÉTONNE,75014,6,TERRASSES OUVERTES SUR VOIE PIÉTONNE,60.0,23,13,-1,0.0,0.0,0.0
48.88562362552873,2.335688545685308,TERRASSES OUVERTES SUR TROTTOIR,75018,22,RESTAURATION,3.25,18,17,275,7.0,0.011585116354351763,0.08109581448046234
48.834651353771626,2.4056203308755224,TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75012,11,RESTAURATION,6.0,18,11,143,9.0,0.0153626520717152,0.1382638686454368
48.8467772160829,2.310178202134261,TERRASSES OUVERTES SUR TROTTOIR,75015,9,RESTAURATION,4.8,18,14,211,13.0,0.004340664338043454,0.0564286363945649
48.855396970454656,2.3754183670281415,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75011,5,RESTAURATION,6.8,18,10,155,6.0,0.001460384034609888,0.008762304207659328
48.8865587798237,2.3185482342604944,CONTRE TERRASSE SUR TROTTOIR,75017,6,CONTRE TERRASSE SUR TROTTOIR,4.76,7,16,0,224.0,0.0013354461910876849,0.2991399468036414
48.885516011173976,2.386164432791374,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75019,4,RESTAURATION,14.4,18,18,69,9.0,0.009580940883446154,0.0862284679510154
48.853570168405525,2.3388548509421896,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75006,18,RESTAURATION,7.819999999999999,18,5,222,11.0,0.012680045479108084,0.13948050027018893
48.89327264555107,2.337449474442119,TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75018,6,RESTAURATION,2.82,18,17,218,9.0,0.0024672245116407424,0.02220502060476668
48.880837267330506,2.3154008016273733,CONTRE-TERRASSE PERMANENTE SUR STATIONNEMENT,75008,22,CONTRE-TERRASSE PERMANENTE SUR STATIONNEMENT,9.0,13,7,25,38.0,0.004284824487421861,0.1628233305220307
48.86045033556255,2.341896277376697,CONTRE TERRASSE ESTIVALE SUR PLACES ET TERRE-PLEIN,75001,9,CONTRE TERRASSE ESTIVALE SUR PLACES ET TERRE-PLEIN,9.424199999999999,4,0,0,224.0,0.0013354461910876849,0.2991399468036414
48.88549943993832,2.3387098040801426,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75018,16,RESTAURATION,10.2,18,17,309,18.0,0.0023633563979296016,0.04254041516273283
48.82304094797847,2.362535298851018,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75013,15,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,7.2,6,12,0,224.0,0.0013354461910876849,0.2991399468036414
48.88093553768371,2.315433833666035,ÉTALAGE SUR TROTTOIR,75008,23,ÉTALAGE SUR TROTTOIR,2.28,24,7,-1,0.0,0.0,0.0
48.87464678322571,2.372918410657834,TERRASSES OUVERTES SUR TROTTOIR,75010,10,RESTAURATION,3.8499999999999996,18,9,312,20.0,0.002590388398033277,0.05180776796066554
48.87659699988581,2.32323800069628,PERPENDICULAIRE SUR FAÇADE,75018,7,PERPENDICULAIRE SUR FAÇADE,,17,17,-1,0.0,0.0,0.0
48.870033053758455,2.2784211028195624,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75116,1,RESTAURATION,19.55,18,20,71,5.0,0.0009334004854397263,0.0046670024271986315
48.88074057246656,2.341059533655399,TERRASSES OUVERTES SUR TROTTOIR,75009,10,RESTAURATION,10.602,18,8,-1,0.0,0.0,0.0
48.87584257317516,2.2874993849094167,TERRASSE ESTIVALE SUR TROTTOIR DÉSAXÉE PAR RAPPORT À LA DEVANTURE,75116,20,TERRASSE ESTIVALE SUR TROTTOIR DÉSAXÉE PAR RAPPORT À LA DEVANTURE,9.774999999999999,20,20,-1,0.0,0.0,0.0
48.85774533347516,2.349542478696655,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75003,29,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,10.4,6,2,0,224.0,0.0013354461910876849,0.2991399468036414
48.84635955955773,2.3945485173823853,TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75012,4,RESTAURATION,5.5,18,11,156,10.0,0.0025950384857962978,0.02595038485796298
48.8238229726377,2.323649670321529,TERRASSES OUVERTES SUR TROTTOIR,75014,7,RESTAURATION,19.759999999999998,18,13,64,6.0,0.0017674422630285392,0.010604653578171235
48.83893430191109,2.381010782423675,TERRASSES OUVERTES SUR TROTTOIR,75012,10,RESTAURATION,30.87,18,11,185,10.0,0.0739395580048392,0.739395580048392
48.85800799901811,2.281718000171344,PERPENDICULAIRE SUR FAÇADE,75016,4,PERPENDICULAIRE SUR FAÇADE,,17,15,-1,0.0,0.0,0.0
48.86834417620605,2.3897021319262746,TERRASSES OUVERTES SUR TROTTOIR,75020,6,RESTAURATION,15.12,18,19,189,5.0,0.0,0.0
48.86595282789055,2.3699513655573905,TERRASSES OUVERTES SUR TROTTOIR,75011,13,RESTAURATION,2.76,18,10,320,9.0,0.006937084181677707,0.06243375763509937
48.85245199958611,2.3662610003628055,PARALLÈLE SUR FAÇADE,75004,16,PARALLÈLE SUR FAÇADE,1.701,15,3,16,11.0,0.00038109257730526965,0.004192018350357966
48.88798195044837,2.3120128601324765,TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75017,9,RESTAURATION,5.6,18,16,271,17.0,0.00784299191208542,0.13333086250545215
48.852034855895056,2.373806257862411,TERRASSES OUVERTES SUR TROTTOIR,75011,8,RESTAURATION,9.839999999999998,18,10,-1,0.0,0.0,0.0
48.84232881904109,2.2908050189557105,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75015,7,RESTAURATION,11.559999999999999,18,14,172,13.0,0.006171368441992101,0.08022778974589731
48.86902852286664,2.3356483003774664,TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75002,15,RESTAURATION,3.0,18,1,292,7.0,0.008301277313795197,0.058108941196566385
48.886415058205536,2.381550113292042,TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75019,11,RESTAURATION,0.6,18,18,136,16.0,0.009199702629531466,0.14719524207250345
48.87120219995954,2.3698764103511603,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75010,12,RESTAURATION,10.5,18,9,-1,0.0,0.0,0.0
48.82417460380501,2.32464371109542,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75014,11,RESTAURATION,19.5,18,13,-1,0.0,0.0,0.0
48.831683753362306,2.3242446857591657,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75014,11,RESTAURATION,8.5,18,13,190,43.0,0.006140064011052296,0.2640227524752487
48.87142943235065,2.2922404825518803,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75116,7,RESTAURATION,7.2,18,20,247,45.0,0.005365957338638744,0.24146808023874347
48.84986057025917,2.377991289636703,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75012,36,RESTAURATION,6.969999999999999,18,11,17,7.0,0.01883600451191625,0.13185203158341374
48.85419804155915,2.3067973020496546,CONTRE TERRASSE ESTIVALE SUR PLACES ET TERRE-PLEIN,75007,16,CONTRE TERRASSE ESTIVALE SUR PLACES ET TERRE-PLEIN,8.58,4,6,0,224.0,0.0013354461910876849,0.2991399468036414
48.855889351200794,2.358674738661977,TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75004,13,RESTAURATION,4.5,18,3,-1,0.0,0.0,0.0
48.89011018492736,2.3422321580816203,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75018,10,RESTAURATION,16.15,18,17,221,5.0,0.00710365827726876,0.0355182913863438
48.872533054753966,2.3529272398328933,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75010,26,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,18.0,6,9,0,224.0,0.0013354461910876849,0.2991399468036414
48.84677693213177,2.38272939353943,TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75012,14,RESTAURATION,5.04,18,11,-1,0.0,0.0,0.0
48.880599297809646,2.3464622288585706,TERRASSES OUVERTES SUR TROTTOIR,75009,15,RESTAURATION,9.5,18,8,-1,0.0,0.0,0.0
48.89745021387222,2.3292398836811388,TERRASSES OUVERTES SUR TROTTOIR,75018,7,RESTAURATION,55.2,18,17,-1,0.0,0.0,0.0
48.869012657320624,2.3343625110245125,TERRASSES OUVERTES SUR TROTTOIR,75002,22,RESTAURATION,24.57,18,1,265,12.0,0.008663689965867968,0.10396427959041561
48.85951554356408,2.3489874625209106,PLANCHER MOBILE,75004,65,AUTRE,10.05,0,3,-1,0.0,0.0,0.0
48.885692851736664,2.3354630183304623,TERRASSE OUVERTE,75018,24,RESTAURATION,5.236,18,17,275,7.0,0.011585116354351763,0.08109581448046234
48.85789368327893,2.368198410334362,TERRASSE OUVERTE,75011,17,RESTAURATION,4.34,18,10,-1,0.0,0.0,0.0
48.86499047533771,2.3658970418734704,TERRASSE OUVERTE,75011,17,RESTAURATION,5.52,18,10,-1,0.0,0.0,0.0
48.858502218933246,2.3583711321901646,TERRASSE OUVERTE,75004,4,RESTAURATION,14.95,18,3,-1,0.0,0.0,0.0
48.894799522174985,2.3409209498346524,TERRASSE OUVERTE,75018,11,RESTAURATION,14.834999999999999,18,17,-1,0.0,0.0,0.0
48.82721416042136,2.3739611339448357,TERRASSE OUVERTE,75013,5,RESTAURATION,4.8,18,12,75,26.0,0.008473280907943683,0.22030530360653577
48.87972367253582,2.328863109758401,TERRASSE FERMÉE,75009,5,RESTAURATION,3.212,18,8,-1,0.0,0.0,0.0
48.858886021770566,2.350270637316021,TERRASSE OUVERTE,75004,46,RESTAURATION,10.75,18,3,140,15.0,0.004503070781768248,0.06754606172652372
48.843261995355746,2.282739320493195,TERRASSE OUVERTE,75015,12,RESTAURATION,9.879999999999999,18,14,-1,0.0,0.0,0.0
48.83595130562079,2.358543653172571,TERRASSE OUVERTE,75013,8,RESTAURATION,6.0,18,12,130,27.0,0.0051804529856465985,0.13987223061245815
48.88966247525974,2.343749159729698,TERRASSE OUVERTE,75018,13,RESTAURATION,12.299999999999999,18,17,-1,0.0,0.0,0.0
