typologie,adresse,arrondissement,nom_enseigne,nom_societe,siret,longueur,largeur,periode_installation,lien_affichette,geo_shape,geo_point_2d,latitude,longitude
CONTRE-TERRASSE PERMANENTE SUR STATIONNEMENT,17 RUE CHALIGNY,75012,L AUBERGEADE,,32627700000000.0,6.5,1.7,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgTFS3zp6XwKhA2EG5DIziUQPFnsQklS2WMlmLxJTkiNQUwlZaqxqfkw%3d&p=chMOZL_3S4WzSj2VHhwG-wtulSZOuWok0YqrbmQZDcGRYWbAcFLsT3Ps7w_koznePClzMawPSPw%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.383646715466797, 48.846611852243264], 'type': 'Point'}, 'properties': {}}","{'lon': 2.383646715466797, 'lat': 48.846611852243264}",48.846611852243264,2.383646715466797
TERRASSES OUVERTES SUR TROTTOIR,58 AVENUE DE CHOISY,75013,TJ ASIAN FUSION,,85295200000000.0,5.0,0.6,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgRkcRHlkDm9UoQDaQ4mFIG11mFTYZmjYNa6P5NQNGWDyVHKJa3Y-kdA%3d&p=chMOZL_3S4UbYL8YguFSyLROngCpYD_i92VF_9-X-RAHylb40UMwP2V7fYGvL7i5thCBq4Fqqh8%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3624263452297884, 48.82318276550762], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3624263452297884, 'lat': 48.82318276550762}",48.82318276550762,2.3624263452297884
ÉTALAGE SUR TROTTOIR,68 RUE DE RIVOLI,75004,BEN'S COOKIES,,95307100000000.0,2.16,1.7,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgZxjwC8ND0c85YluiJJNzY0JLO2SbrHcoMg3YOaC_uYLJL9QvanLmk8%3d&p=chMOZL_3S4WBRSVjzjYbuU5pyhchAPGfXtiZFDDTsmAjP6IdEv6c-Qsq-YTsu9xvZkjwOeoEKnU%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3519685266663797, 48.857485413744996], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3519685266663797, 'lat': 48.857485413744996}",48.857485413744996,2.3519685266663797
TERRASSES OUVERTES SUR TROTTOIR,106 BOULEVARD VOLTAIRE,75011,BISTROT BAGUETTE,,93244400000000.0,6.0,1.8,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3772885493120546, 48.85931801100374], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3772885493120546, 'lat': 48.85931801100374}",48.85931801100374,2.3772885493120546
CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,9 RUE BARTHELEMY,75015,LE CRISTAL,,45291200000000.0,10.0,1.7,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgXZ_KiXLZq8fSQCMDku3e8GRAxt2F2G_uvz7UiX8RtV9V2DY3oUGg5c%3d&p=chMOZL_3S4Vd7FEjAQ0taDko9fD64gDM1pJnu-OVZ0BCP81zajLQjAfv-xAr22RPog3e3-zPY9g%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3098840133648837, 48.845845313109564], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3098840133648837, 'lat': 48.845845313109564}",48.845845313109564,2.3098840133648837
CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,86 RUE DU CHERCHE MIDI,75006,CHERCHE MINUIT,,98021600000000.0,6.2,1.7,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3231941034200387, 48.84781443898905], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3231941034200387, 'lat': 48.84781443898905}",48.84781443898905,2.3231941034200387
TERRASSES OUVERTES SUR TROTTOIR,12 RUE SAINT SABIN,75011,LE CAFE ALAIN DUCASSE,,88927800000000.0,1.5,0.6,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.372089098607595, 48.85532565466663], 'type': 'Point'}, 'properties': {}}","{'lon': 2.372089098607595, 'lat': 48.85532565466663}",48.85532565466663,2.372089098607595
TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,18 PLACE MAUBERT,75005,CAFE DU METRO,,55209400000000.0,8.0,1.0,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgVHUAfzz0eYbWlcrmbfhwG3YEJX15WF13oAE2fNnCk60fqFRSdnOy3Q%3d&p=chMOZL_3S4WBRSVjzjYbuQoZihOAxLmeUd-o8QIL42qJaXbDi7XaTJCC-qO6F0FG78MVS4m3NqI%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3483928847744067, 48.85027927720597], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3483928847744067, 'lat': 48.85027927720597}",48.85027927720597,2.3483928847744067
TERRASSES OUVERTES SUR TROTTOIR,80 RUE BONAPARTE,75006,LA PROCURE,,54200600000000.0,12.0,1.4,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgTGuhNi5sxBk0wjg0I-Oe4swdIGYs273lbEA46VtKKa7jQyDNqz31Ew%3d&p=chMOZL_3S4VhpAHpAPoNMMYC_gI5ZiazVkJJED3wSGuQyM0bNR8OuKOiel6Ry0KkwLyM5PFY53s%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.332594035582283, 48.850121883678995], 'type': 'Point'}, 'properties': {}}","{'lon': 2.332594035582283, 'lat': 48.850121883678995}",48.850121883678995,2.332594035582283
TERRASSE ESTIVALE SUR TROTTOIR DÉSAXÉE PAR RAPPORT À LA DEVANTURE,27 RUE BOUCHARDON,75010,LE CHARDON,,84464900000000.0,2.83,0.9,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgevuRxZsN1AkTeOAi8kUQ__aa4VOOzoQvJ4kFQxYGgxGDemRk838ZbY%3d&p=chMOZL_3S4WzSj2VHhwG-80NH7WY_JC7dCIwSdI0HvAJfbh1qYSvFPJc64CgdGvMi5yu2bt--VY%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.357985380516377, 48.87107306166551], 'type': 'Point'}, 'properties': {}}","{'lon': 2.357985380516377, 'lat': 48.87107306166551}",48.87107306166551,2.357985380516377
TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,1 BOULEVARD DES FILLES DU CALVAIRE,75003,BLEND HAMBURGER,,79019200000000.0,5.4,2.0,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3669686793300997, 48.861162407084066], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3669686793300997, 'lat': 48.861162407084066}",48.861162407084066,2.3669686793300997
CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,1 RUE SURCOUF,75007,ASIA KITCHEN,,44425300000000.0,2.2,1.7,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3093038553535012, 48.86220581776545], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3093038553535012, 'lat': 48.86220581776545}",48.86220581776545,2.3093038553535012
